"precio","metros_cuadrados_construidos","habitaciones","banos","planta","latitud","longitud","ascensor","obra_nueva","piscina","terraza","parking","parking_incluido_en_el_precio","aire_acondicionado","trastero","jardin","planta_was_nan"
2040,85,1,2,4,40.4223645,-3.7019833,1,0,0,0,0,0,1,0,0,0
2100,65,1,2,2,40.4224973,-3.6990973,1,0,0,0,0,0,0,0,0,0
2100,70,1,2,2,40.4471256,-3.6706534,1,0,0,0,1,1,1,0,1,0
2100,103,1,2,0,40.4370987,-3.6625343,1,0,0,0,0,0,1,0,0,1
2100,70,1,2,4,40.4282872,-3.6779961,1,0,0,0,0,0,1,0,0,0
2100,93,1,2,4,40.4498469,-3.7069677,1,0,1,1,1,0,1,1,1,0
2150,86,1,2,5,40.4211127,-3.6901574,1,0,0,0,0,0,1,0,0,0
2160,82,1,2,1,40.4103326,-3.701778,1,0,0,0,0,0,1,0,0,0
2195,75,1,2,1,40.4296175,-3.6772727,1,0,0,0,0,0,1,0,0,0
2200,85,1,2,3,40.410589,-3.6965656,0,0,0,0,0,0,1,0,0,0
2200,75,1,2,7,40.4330882,-3.6839949,1,0,0,0,0,0,1,0,0,0
2200,89,1,2,1,40.4231716,-3.7075664,1,0,0,0,0,0,1,0,0,0
2200,68,1,2,2,40.424943,-3.6985749,1,0,0,0,0,0,1,0,0,0
2200,150,1,2,3,40.4217244,-3.697953,1,0,0,1,0,0,1,0,0,0
2250,111,1,2,1,40.4119084,-3.6961259,1,0,0,0,0,0,1,0,0,0
2250,60,1,2,8,40.4339374,-3.6976998,1,0,0,0,0,0,1,0,0,0
2260,85,1,2,6,40.4337745,-3.6937774,1,0,0,0,0,0,1,0,0,0
2300,86,1,2,1,40.4250925,-3.6772307,1,0,0,0,0,0,1,0,0,0
2300,109,1,2,5,40.4145372,-3.7032346,1,0,0,1,0,0,1,0,0,0
2300,45,1,2,1,40.422635,-3.7013798,1,0,0,0,0,0,1,0,0,0
2300,77,1,2,2,40.4291516,-3.7007433,1,0,0,0,1,0,1,0,0,0
2300,100,1,2,6,40.4173831,-3.7068138,1,0,0,1,0,0,1,0,0,0
2310,121,1,2,2,40.4120744,-3.6969487,1,0,0,0,0,0,1,0,0,0
2315,90,1,2,2,40.4100316,-3.7076628,1,0,0,0,0,0,1,0,0,0
